     0 ,       0.00
     1 ,     440.63
     2 ,     -40.99
     3 ,    -117.81
     4 ,    1293.36
     5 ,    -493.36
     6 ,   -3776.55
     7 ,     117.94
     8 ,     794.88
     9 ,    1232.72
    10 ,   -2280.04
    11 ,   -2039.51
    12 ,    1550.25
    13 ,   -2892.21
    14 ,    1531.25
    15 ,   -1813.31
    16 ,    -219.71
    17 ,    -990.89
    18 ,    3486.87
    19 ,    3915.46
    20 ,    1470.32
    21 ,    -529.31
    22 ,    2216.33
    23 ,     316.24
    24 ,     301.24
    25 ,  526793.56
    26 ,     839.37
    27 ,    2071.55
    28 ,   -1705.57
    29 ,    -266.87
    30 ,   -2092.30
    31 ,    -255.51
    32 ,     176.37
    33 ,    1300.65
    34 ,   -1881.21
    35 ,     354.70
    36 ,   -1370.49
    37 ,    -882.44
    38 ,    -735.20
    39 ,    1690.26
    40 ,   -4221.39
    41 ,     -87.52
    42 ,    -761.28
    43 ,     -27.65
    44 ,    2734.40
    45 ,   -1552.84
    46 ,   -1380.91
    47 ,    -216.14
    48 ,     447.74
    49 ,    2436.34
    50 ,   -4613.04
    51 ,   -3135.06
    52 ,   -2932.46
    53 ,    1066.72
    54 ,     352.99
    55 ,     728.41
    56 ,     375.94
    57 ,    1162.97
    58 ,    -975.01
    59 ,     157.90
    60 ,     -18.39
    61 ,     792.53
    62 ,      29.90
    63 ,     373.24
    64 ,   -1765.27
    65 ,    1536.38
    66 ,    1494.51
    67 ,   -4615.57
    68 ,    1995.13
    69 ,   -1802.57
    70 ,  787514.81
    71 ,    -846.09
    72 ,    -911.68
    73 ,    -914.39
    74 ,     679.52
    75 ,     209.49
    76 ,    1346.91
    77 ,    2175.74
    78 ,    4911.25
    79 ,    4297.03
    80 ,     148.04
    81 ,   -2722.52
    82 ,    -908.06
    83 ,    -632.75
    84 ,    1724.50
    85 ,   -1528.23
    86 ,   -1146.32
    87 ,   -1812.85
    88 ,   -2015.17
    89 ,     -51.05
    90 ,   -2361.06
    91 ,   -3482.75
    92 ,     416.05
    93 ,     765.26
    94 ,    2410.28
    95 ,    -969.53
    96 ,    2538.83
    97 ,   -2578.54
    98 ,   -1849.96
    99 ,    -572.94
