 1 ,        1 ,   1.58,   0.00
 1 ,       10 ,  10.82,  10.00
 1 ,      100 ,  19.87,  23.00
 1 ,     1000 ,  19.04,  22.50
 1 ,    10000 ,  18.80,  22.61
 1 ,   100000 ,  18.40,  23.12
 1 ,   500000 ,  18.33,  23.18
 2 ,        1 ,   0.71,   0.00
 2 ,       10 ,   6.68,   0.00
 2 ,      100 ,  30.10,  23.00
 2 ,     1000 ,  37.26,  24.30
 2 ,    10000 ,  37.06,  23.39
 2 ,   100000 ,  36.69,  23.02
 2 ,   500000 ,  36.31,  23.15
 4 ,        1 ,   0.63,   0.00
 4 ,       10 ,   6.29,   0.00
 4 ,      100 ,  41.61,  18.00
 4 ,     1000 ,  54.79,  22.70
 4 ,    10000 ,  74.60,  23.20
 4 ,   100000 ,  73.58,  22.85
 4 ,   500000 ,  73.13,  23.20
 8 ,        1 ,   0.51,   0.00
 8 ,       10 ,   4.51,  10.00
 8 ,      100 ,  43.29,  19.00
 8 ,     1000 , 136.22,  23.50
 8 ,    10000 , 146.45,  23.15
 8 ,   100000 , 145.38,  23.28
 8 ,   500000 , 145.84,  23.19
